Prix,Boite_de_vitesses,Mode_de_transmission,Immatriculation
55075273.0,36789851.153664306,35372498.8908031,7e546927-d3e3-477f-8971-b0cd70187264
24613286.0,24202373.90138675,33864912.690795355,fb2f74bc-f6e0-4624-967c-78d9466accfa
27841422.0,24202373.90138675,33864912.690795355,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
29377040.0,29295262.692050073,33864912.690795355,0285f39e-16ab-410d-939c-37de56206408
12418476.0,14065157.677058354,19470409.716355532,3ea13155-3031-4ade-836f-c72c593b671c
24436356.0,24202373.90138675,33864912.690795355,0937655d-3cb1-4311-a657-c8fd974daa63
18894778.0,24202373.90138675,19470409.716355532,31e0569c-600e-46cb-8f91-45c525e89821
15489712.0,14065157.677058354,19470409.716355532,0e6a4256-8917-42b3-bfdf-84c419f3f429
5880749.0,6858093.216200304,7465621.600713013,105a5377-e006-4fc2-85f3-21b4c566ca78
25905208.0,29809416.300904978,19470409.716355532,cc2a91d6-c28b-4997-b885-a71f2c6c019c
7531872.0,29295262.692050073,33864912.690795355,1765e318-7203-47ad-92c7-fadec4a45636
36781389.0,40158231.57353714,33864912.690795355,42c87464-a592-42fa-83d0-126a791060ac
22633674.0,24202373.90138675,33864912.690795355,caf5fafc-ae09-40b7-b3a8-c45d12787668
7564588.0,14065157.677058354,19470409.716355532,f9760c49-3b6a-458b-a99b-81d57da95076
11844288.0,14065157.677058354,19470409.716355532,84a801e3-aaf6-469e-82e3-5cd7eb062256
21285001.0,24881245.477915,19470409.716355532,1a605daf-0d52-49e9-b007-b24b6a657fda
26559515.0,24202373.90138675,33864912.690795355,b8762612-ec76-44c5-b663-c8cc6996b7fc
17092096.0,14065157.677058354,19470409.716355532,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3
27387413.0,24202373.90138675,33864912.690795355,30174b94-5836-421e-867b-014d2f4281ee
19405538.0,29809416.300904978,19470409.716355532,4eab1897-2a8e-4aca-817e-25a8005c8bba
34598141.0,56590681.6535342,19470409.716355532,12a83191-888d-40c5-9db9-560ac630f71a
23141096.0,14065157.677058354,19470409.716355532,b20235d5-45a9-4014-8bc0-9f0b90555aab
40940911.0,29809416.300904978,19470409.716355532,1b9df14f-3057-49e0-9a32-8bcc0f959702
25170782.0,24202373.90138675,33864912.690795355,60ebf7fa-3908-44bc-a17b-656af6cce5f5
9914751.0,24881245.477915,33864912.690795355,2d26c9a6-5690-4070-9bba-c9fa908d08a4
11283454.0,24202373.90138675,19470409.716355532,ac1364c8-a1a9-4657-91db-c499caa71bb9
14239852.0,14065157.677058354,19470409.716355532,b5a6b646-7d6f-4489-8025-9e70347ade7d
34337754.0,29809416.300904978,41172700.47964377,ba1b7bc5-5031-432b-aaf1-2de6fd753954
23795402.0,21891063.633705564,19470409.716355532,5a5a0420-1f12-40a8-a90c-39e7a68b775f
42543295.0,23653165.445305828,19470409.716355532,02c4f548-c0ad-4e58-976a-68563c7e8db9
1694521.0,6858093.216200304,7465621.600713013,2a707a28-4cd0-43a1-a69e-71f73c41dec6
53946928.0,47314850.72588492,41172700.47964377,30a666ba-fcc5-48d8-9ab8-eceb97cdbea0
16444466.0,14065157.677058354,19470409.716355532,42ef11ca-2db3-46ce-bbc0-d8329ab8c7e7
15683333.0,24202373.90138675,19470409.716355532,b40f9de0-653b-4b0f-af06-ecc0d857716b
44432773.0,36789851.153664306,41172700.47964377,1fe0cd35-9e25-430a-83e1-14946c633fee
23227224.0,14065157.677058354,33864912.690795355,ead240fa-4f1f-4045-8a81-36227121a7c5
36482278.0,24202373.90138675,33864912.690795355,67a91015-bab5-4639-bc02-dda06dc2dcfb
20570605.0,36789851.153664306,19470409.716355532,ae44c7c9-1456-4909-a2c5-a58d30035948
24603271.0,24202373.90138675,19470409.716355532,b360b831-31f5-4bc3-8986-899b2f946482
27908188.0,46520929.20483209,19470409.716355532,35e86943-8fdf-4952-b6bc-dab5c314a9e0
24023742.0,24202373.90138675,25517806.32511886,d5a41251-d9b0-4c80-a717-d890443914cc
35837318.0,24202373.90138675,33864912.690795355,f4cb5363-7f57-4fe6-b2da-d5758fc863c8
16791649.0,24678235.832407784,19470409.716355532,542fa22e-5c45-4ab3-b02f-94c8134753c2
26913375.0,24202373.90138675,19470409.716355532,393628cc-3218-46a6-9d7c-7be121395737
13172932.0,29809416.300904978,19470409.716355532,c4ab0543-4b38-4ecf-8fa7-f7d03261d243
19709323.0,24202373.90138675,19470409.716355532,10ae3fac-21f3-4841-bb98-f25d7747de38
20542563.0,24202373.90138675,33864912.690795355,e3364f90-b231-45a4-a6a2-d4af4c88a7f4
56711040.0,35024646.505911104,34927072.57614895,3ea832c9-8a90-40cd-b6cb-78559445ef5e
19462289.0,24202373.90138675,19470409.716355532,77c94b34-2303-4766-9a15-a14b31055b54
18026820.0,24678235.832407784,19470409.716355532,3603ec70-24b3-4279-bb34-93a0076d5ae1
14621754.0,14065157.677058354,19470409.716355532,43e2ad09-7652-43a7-84ee-476562ae3cef
1368035.0,2232150.4466731064,7465621.600713013,4e7aea1c-2ee1-4870-8ff1-f5cbb0332d74
20296864.0,24202373.90138675,19470409.716355532,f10f71dd-1245-47b6-ba77-45ad66f9aa69
18961544.0,23653165.445305828,19470409.716355532,8193669f-0db8-4bf9-903f-3111e3f6c982
43689000.0,36789851.153664306,33864912.690795355,67d69447-2bfb-4ac3-8e7e-8ee51b3284c4
22132929.0,24202373.90138675,41172700.47964377,7ed05991-a88e-4ac4-936f-ff9295e9cbfb
14988967.0,24202373.90138675,19470409.716355532,84957746-0d8e-4afd-b0e5-b4fa51ac2d6e
17526075.0,24202373.90138675,19470409.716355532,34993d59-d916-4f55-8807-85a6731f9e82
23699259.0,24202373.90138675,19470409.716355532,76d7e92a-3801-4097-95b0-042528f8393c
23635164.0,24202373.90138675,19470409.716355532,e4fd3538-f7a8-4efd-8622-32d872d43458
15683333.0,24202373.90138675,19470409.716355532,9077516f-61ed-44fc-89c1-6a03aabec79c
