Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Prix,Immatriculation
2.66,61.0,8.419999999999998,5.28,813210.0,c5997c68-c67d-467d-9651-c7b57b93623d
8.4,222.0,7.540000000000001,5.1,34427220.0,6e9d75e6-6385-46f8-953a-ac062e817e6d
6.4,149.0,8.2,5.3,16691500.0,da9f9602-a32f-487f-88f0-93b382fd6695
5.0600000000000005,139.0,6.18,4.38,19702647.0,0cf98e56-5422-4fac-9767-a23a4e21ec9d
7.8,179.0,10.6,6.1,14554988.0,b6a8731f-5203-40f7-b8d6-2a4c23b41560
4.3,99.0,5.5,3.6,14020860.0,0767433a-1b48-423d-9bb6-f2b5543648c5
5.9,139.0,7.6,4.9,8178835.0,5ce1dc9e-1100-40e9-9620-45e49a7aff76
5.6,123.0,7.1,4.7,18260501.0,9149492a-884c-472b-9f92-3066deddc2a3
4.8,126.0,7.5,5.04,34144132.0,f7329e3e-cc93-4d5f-bd70-ce565002ce24
5.2,122.0,7.42,4.74,12017880.0,68556cbc-4db8-4555-aa20-07997ac37239
5.1,134.0,6.1,4.5,31103609.0,4ecfdea3-63d0-469a-aae3-19c404c3cc97
4.96,125.2,6.0600000000000005,4.340000000000001,18901455.0,66ba5978-f9a3-4ff3-9718-7d6735419bc1
5.1,134.0,6.3,4.3,27574358.0,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
8.6,217.0,11.3,7.0,20497162.0,fa6fa76e-a360-44b7-9a89-b3794f16d364
4.9,128.0,6.94,5.3999999999999995,21999397.0,39f42829-f725-4d43-bfd9-54b158e2cfd0
7.2,168.0,9.8,5.7,24970484.0,717d6e72-a731-4934-8f2e-b4cb4e985561
7.4,195.0,9.379999999999999,5.659999999999999,26851950.0,115b72dd-052f-4a55-bd07-b7083ce08798
8.4,222.0,10.64,6.24,28089792.0,fdf49405-f747-4d44-9e06-f7e04473dbfa
5.3,139.0,6.7,4.5,20463779.0,1401d40e-e1bf-4271-85a7-a9f22e3b385a
6.8,183.0,8.6,5.8,20397013.0,1fd9d158-a61e-449c-9dd1-93714c036fd2
