Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
2.0,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1984.0,2400.0,170.0,8.0,10.5,Euro 6,Transversale Avant,115.0,85.0,82.5,92.8,eb097c22-ca5b-48f3-9842-bd4882350df6
1.6i-DEC,Diesel,Trois cylindres en ligne,Turbocompresseur,Injection électronique,1597.0,2000.0,300.0,15.58,16.0,Euro 6,Transversale Avant,120.0,88.0,81.78,87.35,8e9bb1e7-5667-4cac-baee-f7075e434a61
140.0,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1397.0,3750.0,130.0,8.0,11.0,Euro 4,Transversale Avant,82.0,60.0,80.0,69.5,c2261a9f-bd51-48ce-97d9-8946bfad8acb
939.0,Essence,Bicylindre en L,Turbo à géométrie variable,Injection électronique,937.0,6500.0,97.0,8.0,12.6,Euro 4,Transversale Avant,113.0,83.0,94.0,67.5,38364b7c-3a6f-4bf0-963b-cdb0498ec8a6
999.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,998.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,b7c1d9b3-9d80-4227-b2af-783804ff1254
939.0,Essence,Bicylindre en L,Turbo à géométrie variable,Injection électronique,937.0,7500.0,99.0,8.0,13.1,Euro 4,Transversale Avant,114.0,84.0,94.0,67.5,06b5149b-8b87-423c-8d08-199aaea04a16
1.7CDI100,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1686.0,2300.0,240.0,16.0,18.4,Euro 4,Transversale Avant,100.0,74.0,79.0,86.0,dc97fefc-4741-4eea-8868-e0fe1322cd72
1.9Ddi164,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1898.0,3600.0,360.0,16.0,13.88,Euro 6,Transversale Avant,163.0,120.0,80.0,94.4,3ca7e71d-ac60-46d7-a237-b200a5ef909a
1.6HDi92,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1560.0,1750.0,230.0,8.0,13.88,Euro 5,Transversale Avant,92.0,68.0,75.0,88.3,5dc261e0-b53d-4f6c-a315-beffa5cb0987
1.8FSI,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe essence,1798.0,3800.0,320.0,16.0,9.6,Euro 5,Longitudinale Avant,170.0,125.0,82.5,84.1,bd539615-dab8-4dff-b71f-20acbdc0a375
1.8FSI,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1798.0,5400.0,250.0,16.0,13.88,Euro 6,Transversale Avant,192.0,141.0,81.78,87.35,10d1b98e-8219-45ad-872b-d8fb3d0b18e9
220CDI,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,3000.0,400.0,16.0,17.5,Euro 5,Longitudinale Avant,170.0,125.0,88.0,88.3,cf9ccc50-143c-4ff0-80d5-49dd9ca3bed6
320CDI,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2987.0,1600.0,510.0,24.0,17.7,Euro 4,Longitudinale Avant,224.0,165.0,83.0,92.0,703a21cc-e765-467f-9a5b-307e084a2b6f
2.0i170ch,Essence,Quatre cylindres en ligne,Atmosphérique,Injection directe essence,1995.0,4250.0,210.0,16.0,12.0,Euro 5,Longitudinale Avant,170.0,125.0,84.0,90.0,e4a9a069-c9e4-4e88-8243-cf8e5b3dc18b
1.4SI,Essence,Quatre cylindres en ligne,Turbo + Compresseur,Injection directe essence,1390.0,5800.0,220.0,16.0,10.0,Euro 5,Transversale Avant,150.0,110.0,76.5,75.6,165332da-65a9-4bb6-b2e6-b1b84cbd5e4b
250Blueec,Diesel,Quatre cylindres à plat,Turbo,Injection directe à rampe commune,2143.0,3800.0,500.0,16.0,13.88,Euro 6,Longitudinale Avant,204.0,150.0,81.78,87.35,c4a3a6ee-6528-43d8-a4d6-2b497a49a545
1000.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection électronique,998.0,9000.0,112.0,16.0,12.0,Euro 5,Transversale Avant,166.0,122.0,79.0,50.9,c7c9d51d-b842-433f-aa19-9599b5e6a372
1.4DI90,Diesel,Trois cylindres en ligne,Turbo,Injection directe à rampe commune,1422.0,3500.0,230.0,12.0,13.88,Euro 6,Transversale Avant,90.0,66.0,81.78,87.35,0f46fc51-bf73-4f21-ab67-66df354d3dc3
1.6,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,1595.0,3497.79,294.79,8.0,13.88,Euro 6,Transversale Avant,100.0,74.0,81.78,87.35,7f982a64-b9dd-4bd8-a498-0c25c5f91097
1.2SI,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1197.0,5000.0,175.0,8.0,10.0,Euro 5,Transversale Avant,105.0,77.0,71.0,75.6,ead8e866-9f95-404a-b67e-b39b3e152ebb
2.0DCi163,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3750.0,340.0,16.0,17.9,Euro 5,Transversale Avant,163.0,120.0,85.0,88.0,84c81cbc-1e55-4e4e-a262-a323b79bd6ea
2.5dCi140,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2464.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,140.0,103.0,81.78,87.35,1c4b6108-f55e-4528-a27f-3520c2404967
2.0DCi130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3497.79,385.0,16.0,13.88,Euro 6,Transversale Avant,131.0,96.0,81.78,87.35,be07f1c7-90ef-411f-9cdb-8d8c8a4131a1
3.0i218ch,Essence,Six cylindres en ligne,Atmosphérique,Injection directe essence,2996.0,6100.0,270.0,24.0,12.0,Euro 5,Longitudinale Avant,218.0,160.0,85.0,88.0,b921fa92-3639-467d-b010-7b4fe588b910
2.0dCi180,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,2000.0,400.0,16.0,16.0,Euro 5,Transversale Avant,180.0,131.0,84.0,90.0,3040bd51-c805-455c-9939-325e776b7971
2.0d116,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1995.0,4000.0,260.0,16.0,16.5,Euro 5,Longitudinale Avant,116.0,85.0,90.0,84.0,43f2d14e-8969-458b-941f-f7e34f0e4bbb
2.4,Essence,Cinq cylindres en ligne,Atmosphérique,Injection,2446.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,175.0,129.0,81.78,87.35,3b7efff1-5b25-4329-a386-46286101b373
2.5Hybrid,Hybride,Quatre cylindres en ligne,Turbo,Injection directe essence,2487.0,6000.0,221.0,16.0,14.0,Euro 6,Transversale Avant,178.0,131.0,87.5,103.4,b767eeab-dd3e-43fc-82ad-4a5fe2a125c4
2.3BdCi165,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1887.85,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,165.0,121.0,81.78,87.35,9e7af95b-9c2b-42eb-a37d-016f0272ee36
2.0DCi163,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3750.0,340.0,16.0,17.9,Euro 5,Transversale Avant,163.0,120.0,85.0,88.0,d11210a0-b510-41bf-ab3c-d2e23734f6a7
2.9,Hybride,Six cylindres en V,Bi-Turbos,Injection directe essence,2894.0,5400.0,450.0,24.0,10.5,Euro 6,Longitudinale Avant,330.0,243.0,84.5,86.0,645f471a-1808-4d1c-af77-0f41ddd48967
1.416v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1368.0,4500.0,127.0,16.0,11.0,Euro 6,Transversale,95.0,70.0,72.0,84.0,526aea8a-5423-48f5-b26b-082dc84cddd3
1.8,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,1834.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,114.0,84.0,81.78,87.35,f2177c32-ab90-4315-bca8-efd5b79d1c4e
1.9JD15016v,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1910.0,2000.0,320.0,16.0,17.5,Euro 4,Transversale Avant,150.0,110.0,82.0,90.4,fcf5317c-6db7-4060-a0be-51d391b2f6fd
2.0D90,Diesel,Quatre cylindres en ligne,Turbo,Injection,1974.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,90.0,66.0,81.78,87.35,a4be23e2-ec99-4495-9a63-53794d83912f
3.0V6DI240,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2967.0,2000.0,500.0,24.0,17.0,Euro 4,Longitudinale Avant,240.0,176.0,83.0,91.4,ff29a031-6589-43df-bb58-92efb5b476bf
1.3FireFly4,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1332.0,1850.0,270.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,1b485699-1557-4bcb-b44f-c3882808bb7a
1.6JD9016v,Diesel,Quatre cylindres en ligne,Turbo à géométrie fixe,Injection directe à rampe commune,1598.0,1500.0,200.0,16.0,16.5,Euro 5,Transversale Avant,90.0,66.0,79.5,80.5,71fac768-e502-4495-806b-efbfd736bb1a
1.4SIAC,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1395.0,5000.0,250.0,16.0,10.0,Euro 6,Transversale Avant,150.0,110.0,74.5,80.0,b6e1feaa-34e0-44a6-a1ba-edf75913f0ec
2.3HPi106,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,2287.0,1800.0,270.0,16.0,19.0,Euro 6,Transversale Avant,106.0,78.0,88.0,94.0,11cff984-aa10-4c74-aa2b-6fcb64e04b61
3.0HP170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2998.0,3000.0,400.0,16.0,19.0,Euro 6,Transversale Avant,170.0,125.0,95.8,104.0,0b221311-ad07-41c9-8653-900a9f66eee7
1.5DCi105,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,1499.0,3497.79,270.0,16.0,13.88,Euro 6,Transversale Avant,105.0,77.0,81.78,87.35,b1241f8d-c789-421b-8566-edbbfb0d20b7
230.0,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,2295.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,b2838a80-618c-4bf6-9580-9fc1b39555f2
1.416v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1368.0,4500.0,128.0,16.0,11.1,Euro 5,Transversale Avant,90.0,66.0,72.0,84.0,fd652e48-4ebe-4513-9d8d-5fea57e0835e
2.0DI110CR,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,1500.0,250.0,16.0,18.5,Euro 5,Transversale Avant,110.0,81.0,81.0,95.5,81dbaba4-60c7-4f0a-8b26-c78f26190235
2.0DCi140,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3750.0,320.0,16.0,17.9,Euro 5,Transversale Avant,140.0,103.0,85.0,88.0,157c6552-ca4d-4e93-8d29-c64780de8444
1.0Ce115,Essence,Trois cylindres en ligne,Turbo,Injection directe essence,999.0,5000.0,200.0,12.0,13.88,Euro 6,Transversale Avant,114.0,84.0,81.78,87.35,7cb521ca-20fe-4718-9843-3119d410ee82
1.6DI105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,1500.0,250.0,16.0,13.88,Euro 5,Transversale Avant,105.0,77.0,81.78,87.35,dd0fb467-c0a8-4693-9f88-ec02b1fe532b
3.0CDI,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2987.0,3800.0,440.0,24.0,13.88,Euro 5,Longitudinale Avant,224.0,165.0,83.0,92.0,e48214ac-87ed-4ef4-992d-b4a341f80056
Standard,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2998.0,1450.0,350.0,16.0,13.88,Euro 4,Transversale Avant,146.0,107.0,81.78,87.35,386947d2-1056-4c16-bdd8-8632b087e4c8
3.0i,Essence,Six cylindres en ligne,Atmosphérique,Injection multipoints,2996.0,2400.0,270.0,24.0,12.0,Euro 4,Longitudinale Avant,218.0,160.0,85.0,88.0,1a9e7caa-d9ef-43fe-b9bf-bc9b423ac2b9
2.0,Essence,Quatre cylindres à plat,Atmosphérique,Injection multipoints,1994.0,3600.0,184.0,16.0,10.0,Euro 6,Longitudinale Avant,125.0,92.0,92.0,75.0,eaf06d43-5c1f-4d98-b7fd-47520e4fe6ba
3.0DI245,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2967.0,4000.0,500.0,24.0,16.8,Euro 5,Longitudinale Avant,245.0,180.0,83.0,91.4,89510e8f-0adf-4f60-ba3c-0af81191cffc
1.5dCi90,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1461.0,1750.0,220.0,8.0,15.2,Euro 5,Transversale Avant,90.0,66.0,76.0,80.5,dd220918-dbe4-4d7f-9a20-357c707e8b4f
1.5SI150,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1498.0,5000.0,250.0,16.0,10.5,Euro 6,Transversale Avant,150.0,110.0,74.5,85.9,281a4ad0-35c3-4f24-8d6a-ee6665a34a6c
136D-4D,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1887.85,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,006cb64c-4ac3-4dca-8157-8d1df6c78245
1.6E-XDI136,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1597.0,3400.0,300.0,16.0,13.88,Euro 6,Transversale Avant,136.0,100.0,76.0,88.0,97d0d8d9-1f1e-485b-bd1f-2dfc8bee130e
1.5dCi65,Diesel,Quatre cylindres en ligne,Turbo Basse Pression,Injection directe à rampe commune,1461.0,2000.0,160.0,8.0,18.8,Euro 3,Transversale Avant,65.0,48.0,76.0,80.5,04b591db-151a-4060-b224-626969fbff4c
2.2HDi15616v,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,2179.0,2000.0,380.0,16.0,13.88,Euro 4,Transversale Avant,156.0,115.0,85.0,96.0,f96af36e-c646-46ac-8e32-6c02e9f6f619
2.0d184,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,380.0,16.0,16.5,Euro 5,Longitudinale Avant,184.0,135.0,84.0,90.0,7272e125-fc6d-4c43-9e3c-4042f7259526
800.0,Essence,Bicylindre en ligne,Turbo à géométrie variable,Injection électronique,798.0,5800.0,86.0,8.0,12.0,Euro 4,Transversale Avant,90.0,66.0,82.0,75.6,8b98f3d8-5994-4cf7-8571-315931d0454f
1.4FSI,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1390.0,5000.0,200.0,16.0,10.0,Euro 5,Transversale Avant,122.0,90.0,76.5,75.6,0b79c8f4-2395-4079-9b24-872e4bda668e
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,965f92e1-a6ec-4e06-8031-cc9f944fe935
0.9winAir,Essence,Deux cylindres en ligne,Turbo,Injection multipoints,875.0,2000.0,145.0,8.0,10.0,Euro 6,Transversale Avant,86.0,63.0,80.5,86.0,a44edc86-7c57-427a-94c8-08bfb7dc0e68
2.3Mjt130,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2287.0,1800.0,320.0,16.0,16.2,Euro 6,Transversale Avant,131.0,96.0,88.0,94.0,54fbfccf-ea17-4710-b256-376b8efb9785
1.9dCi130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1870.0,2000.0,300.0,8.0,17.0,Euro 4,Transversale Avant,130.0,96.0,80.0,93.0,f6d7ce5f-402c-406d-bc36-3a335f405c67
2.2DCi100,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2198.0,3500.0,310.0,16.0,13.88,Euro 5,Transversale Avant,101.0,74.0,81.78,87.35,fbe405fd-eed6-4046-a093-37b5885b6ab3
0.9winAir,Essence,Deux cylindres en ligne,Turbo,Injection multipoints,875.0,2000.0,145.0,8.0,10.0,Euro 6,Transversale Avant,105.0,77.0,80.5,86.0,2fd9dc3b-35b8-4348-a5fb-56af8652263b
D3,Diesel,Cinq cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1984.0,3500.0,350.0,20.0,16.5,Euro 5,Transversale Avant,150.0,110.0,81.0,77.0,d80621d6-807c-4b63-8bdb-3acf3f91d4c6
2.4GNV,Gaz,Cinq cylindres en ligne,Atmosphérique,Injection multipoints,2435.0,4500.0,192.0,20.0,10.3,Euro 6,Transversale Avant,140.0,103.0,83.0,90.0,b212c9c0-62a0-488e-8995-7ecac48b0d3f
1.6,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1595.0,3800.0,148.0,8.0,10.3,Euro 6,Longitudinale Avant,102.0,75.0,81.0,77.4,00a63caa-bb34-4d18-8b07-079b91fc5221
2.0d150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,1750.0,330.0,16.0,16.5,Euro 6,Transversale Avant,150.0,110.0,84.0,90.0,9f8195c1-fb5e-4831-9354-f638c25fcd66
3.0d286,Diesel,Six cylindres en ligne,Bi-Turbos à géométrie variable,Injection directe à rampe commune,2993.0,4400.0,580.0,24.0,17.0,Euro 4,Longitudinale Avant,286.0,210.0,84.0,90.0,1ad2a4b1-f30b-489a-92ae-1bd7239b0256
1.5FSI150,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1498.0,5000.0,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,0f75c8c0-f36b-4e1a-a9b0-801c76224e19
2.0i184ch,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1998.0,5000.0,270.0,16.0,11.0,Euro 6,Longitudinale Avant,184.0,135.0,82.0,94.6,4716163c-504f-4106-9f11-91ac983db45e
5.3,Essence,Huit cylindres en V,Atmosphérique,Injection multipoints,5327.0,4000.0,446.0,16.0,9.5,Euro 6,Longitudinale Avant,299.0,220.0,96.0,92.0,e9b3f367-2340-47cd-9c69-93dcf7c8ce82
1.2SI90,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1197.0,4800.0,160.0,16.0,13.88,Euro 6,Transversale Avant,90.0,66.0,81.78,87.35,baea7cac-5831-4b00-b5d6-483140026108
2.5Duratec200,Hybride,Quatre cylindres,Turbo,Injection directe essence,2499.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,200.0,148.0,81.78,87.35,70f341a0-b910-494d-a16d-ed37f6fb0c81
1.216vGPL,Gaz,Quatre cylindres en ligne,Atmosphérique,Injection séquentielle gazeuse,1206.0,3800.0,114.0,16.0,10.5,Euro 5,Transversale Avant,84.0,62.0,69.7,79.0,0e603b12-3060-40c3-b6f7-8e42dc2674d7
3.0V6,Essence,Six cylindres en V,Atmosphérique,Injection multipoints,2946.0,3750.0,285.0,24.0,10.9,Euro 6,Transversale Avant,210.0,152.0,87.0,82.6,8d26a8f8-51c6-4294-90ae-6d34fca55dd9
3.0d313,Diesel,Six cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,2993.0,4400.0,630.0,24.0,16.5,Euro 6,Longitudinale Avant,313.0,230.0,84.0,90.0,a2fec3f0-e306-49ae-a1cc-7128876f7d76
600.0,Essence,Douze cylindres en V,Turbo,Injection,5786.0,3497.79,294.79,36.0,13.88,Euro 6,Transversale Avant,500.0,368.0,81.78,87.35,734b16d5-fe4f-4955-9f46-ce4aa8364e62
2.5dCi120,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2463.0,1500.0,300.0,16.0,17.75,Euro 5,Transversale Avant,115.0,84.0,89.0,99.0,3972385e-7779-48dd-a50a-89c853f40c99
2.0DI150,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1968.0,3500.0,340.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,3ada683a-c791-4a8c-9fb0-786f71d13af7
2.3Mjt140,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2287.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,140.0,103.0,81.78,87.35,cbed3144-fef7-40dc-bf8f-9d14d158937b
3.0HPI160,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2998.0,3497.79,400.0,16.0,13.88,Euro 6,Transversale Avant,162.0,119.0,81.78,87.35,63930474-70cc-48ca-9760-853674386e09
2.0Di143,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4200.0,320.0,16.0,16.5,Euro 5,Longitudinale Avant,143.0,105.0,81.0,95.5,742c41eb-3abc-46d5-9d25-d15aad162509
3.0V6,Essence,Six cylindres en V,Turbo à géométrie variable,Injection multipoints,2988.0,3600.0,271.0,24.0,13.88,Euro 6,Transversale,200.0,147.0,93.0,73.3,cab80c89-ff28-400a-87ab-30968a7baa0a
100D-4D,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1499.0,1750.0,254.0,8.0,13.88,Euro 6,Transversale Avant,99.0,73.0,75.0,85.0,25561ae8-baa9-4e65-a317-0dcb80b16ef0
1.8Ce225,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1798.0,3497.79,300.0,16.0,13.88,Euro 6,Transversale Avant,225.0,165.0,81.78,87.35,db4b3d17-ea9a-4ac8-87f4-09d75b241384
200CDI,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,2143.0,3800.0,3300.0,16.0,13.88,Euro 5,Transversale Avant,136.0,100.0,81.78,87.35,967d9cf7-f9ca-4e95-9392-65235fc5e5fe
1.6-GDi150,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1598.0,5500.0,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,77.0,85.4,53a9b185-e93f-4d27-a7c4-46f67d0aada6
1200.0,Essence,Bicylindre en ligne,Turbo à géométrie variable,Injection électronique,1200.0,4000.0,106.0,8.0,10.0,Euro 5,Transversale Avant,78.0,57.0,97.6,80.0,32536577-0beb-4096-9d75-bfd94d1f7881
300BlueEC,Diesel,Six cylindres en V,Turbo,Injection directe à rampe commune,2987.0,3800.0,540.0,24.0,15.5,Euro 6,Longitudinale Avant,231.0,170.0,83.0,92.0,f64725c0-69bd-4114-9ab4-28491ff7293b
2.0CRDI185,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,400.0,16.0,13.88,Euro 6,Transversale Avant,185.0,136.0,84.0,90.0,a377aa5e-077f-4c5e-be03-9ecb22ba6fd3
1.0,Essence,Trois cylindres en ligne,Atmosphérique,Injection multipoints,999.0,6200.0,95.0,12.0,10.5,Euro 6,Transversale Avant,75.0,55.0,74.5,76.4,1b24f99e-e38e-4d43-bc96-06363420a7c9
2.3dCi170,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,2299.0,1500.0,380.0,16.0,16.0,Euro 6,Transversale Avant,170.0,125.0,85.0,101.3,3f900943-595e-426a-9347-2daf9dea01c5
2.0DI143,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4200.0,320.0,16.0,16.5,Euro 5,Longitudinale Avant,143.0,105.0,81.0,95.5,8b792b68-f0c3-4285-8407-20e37bc993e6
2.8D125,Diesel,4 Cyl. / Longitudinale,Turbo Haute Pression,Injection directe,2798.0,1800.0,290.0,8.0,18.5,Euro 6,Transversale Avant,125.0,92.0,94.4,100.0,54a3d4c5-558b-48d0-bf8d-5d45e0b798ec
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,6b0e9fb7-3463-4d88-b06c-8bf79f7bf35b
2.0dCi170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2000.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,170.0,125.0,81.78,87.35,740d79a4-3f87-4748-87e8-125f8b585d4e
2.3dCi145,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,2299.0,1500.0,360.0,16.0,13.88,Euro 6,Transversale Avant,146.0,107.0,81.78,87.35,0532dbe4-266c-4cc6-ae91-dfc61ae14ce7
1.2Vi,Essence,Trois cylindres en ligne,Atmosphérique,Injection multipoints,1199.0,2750.0,116.0,12.0,13.88,Euro 6,Transversale Avant,82.0,60.0,75.0,90.5,d0307b63-df14-45d7-a64b-a293c653fdb0
2.7Di125,Diesel,Quatre cylindres en ligne,Turbo,Injection directe par injecteurs pompes,2664.0,3497.79,294.79,8.0,13.88,Euro 6,Transversale Avant,125.0,92.0,81.78,87.35,ad955595-9d9d-4f8b-8b36-03d8085f53cb
1.9CDI150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1910.0,2000.0,320.0,16.0,17.5,Euro 4,Transversale Avant,150.0,110.0,82.0,90.4,cd6826ab-bfdb-460f-9cb6-f0a3f5955288
1.3Ce140,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1332.0,1600.0,240.0,16.0,13.88,Euro 6,Transversale Avant,140.0,103.0,81.78,87.35,0e91e7cb-89f8-4ea5-aeb7-61638efdc441
320CDI,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2987.0,1600.0,510.0,24.0,17.7,Euro 4,Longitudinale Avant,224.0,165.0,83.0,92.0,76d1810f-0627-4047-a9c0-922c78cf0647
2.3HPi156,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2287.0,2750.0,380.0,16.0,16.2,Euro 6,Transversale Avant,156.0,115.0,88.0,94.0,b70ee5ac-aebf-4432-a0ea-7768b1ffe80d
2.0,Hybride,Quatre cylindres en ligne,Atmosphérique,Double injection (directe et indirecte),1987.0,6000.0,190.0,16.0,14.0,Euro 6,Transversale Avant,152.0,112.0,80.5,97.6,77237071-e840-41ad-93c3-98d7e260318d
2.0FSI230,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1984.0,4700.0,350.0,16.0,13.88,Euro 6,Transversale Avant,230.0,169.0,81.78,87.35,c64fdd97-43bc-43b5-9239-6539e5aaa2bd
200CGIBE,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1595.0,5300.0,250.0,16.0,10.3,Euro 6,Transversale Avant,156.0,115.0,83.0,73.7,c4b63da6-813e-40a0-9888-e5a346b32e64
1.7CRDi141,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,1685.0,4000.0,340.0,16.0,13.88,Euro 6,Transversale Avant,141.0,104.0,77.2,90.0,4c736ea6-cd96-4fc4-beb9-f25f84e42371
6.2V8,Essence,Huit cylindres en V,Atmosphérique,Injection directe essence,6162.0,4300.0,556.0,16.0,10.4,Euro 5,Transversale Avant,405.0,298.0,81.78,87.35,4866fe2d-ca80-498e-a8ca-4d0f1f0f819d
