Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
1.5BluedCi95,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1461.0,1750.0,220.0,8.0,17.6,Euro 6,Transversale Avant,95.0,70.0,76.0,80.5,ac1364c8-a1a9-4657-91db-c499caa71bb9
2.0Di105,Diesel,Quatre cylindres en ligne,Turbo,Injection directe par injecteurs pompes,1994.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,105.0,77.0,81.78,87.35,b5a6b646-7d6f-4489-8025-9e70347ade7d
2.0FSI211,Essence,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe essence,1984.0,4300.0,350.0,16.0,9.6,Euro 5,Longitudinale Avant,211.0,155.0,82.5,92.8,ba1b7bc5-5031-432b-aaf1-2de6fd753954
2.3dCi125,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2298.0,1250.0,310.0,16.0,13.88,Euro 5,Transversale Avant,125.0,92.0,81.78,87.35,5a5a0420-1f12-40a8-a90c-39e7a68b775f
1.4SI,Hybride,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1395.0,5000.0,250.0,16.0,13.88,Euro 6,Transversale Avant,136.0,110.0,81.78,87.35,02c4f548-c0ad-4e58-976a-68563c7e8db9
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,2a707a28-4cd0-43a1-a69e-71f73c41dec6
400d,Diesel,Six cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2925.0,3600.0,700.0,24.0,13.88,Euro 6,Longitudinale Avant,330.0,243.0,81.78,87.35,30a666ba-fcc5-48d8-9ab8-eceb97cdbea0
1.9DI100,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe par injecteurs pompes,1896.0,1800.0,240.0,8.0,19.0,Euro 6,Transversale,101.0,74.0,79.5,95.5,42ef11ca-2db3-46ce-bbc0-d8329ab8c7e7
1.6Mjt16v120,Diesel,Quatre cylindres en ligne,Turbo à géométrie fixe,Injection directe à rampe commune,1598.0,1750.0,320.0,16.0,16.5,Euro 6,Transversale Avant,120.0,88.0,79.5,80.5,b40f9de0-653b-4b0f-af06-ecc0d857716b
2.0i184ch,Hybride,Quatre cylindres en ligne,Turbo à double entrée,Injection directe essence,1998.0,5000.0,300.0,16.0,11.0,Euro 6,Longitudinale Avant,184.0,135.0,82.0,94.6,1fe0cd35-9e25-430a-83e1-14946c633fee
2.5i,Essence,Six cylindres en ligne,Atmosphérique,Injection,2494.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,170.0,125.0,81.78,87.35,ead240fa-4f1f-4045-8a81-36227121a7c5
3.0HPi180,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2998.0,2800.0,430.0,16.0,17.5,Euro 6,Transversale Avant,180.0,132.0,95.8,104.0,67a91015-bab5-4639-bc02-dda06dc2dcfb
130VV-i,Essence,Trois cylindres en ligne,Turbo,Injection directe essence,1199.0,1750.0,230.0,12.0,13.88,Euro 6,Transversale Avant,130.0,96.0,75.0,90.5,ae44c7c9-1456-4909-a2c5-a58d30035948
1.5EcoB200,Essence,Trois cylindres en ligne,Turbocompresseur,Injection directe essence,1497.0,2500.0,320.0,12.0,13.88,Euro 6,Transversale Avant,200.0,147.0,81.78,87.35,b360b831-31f5-4bc3-8986-899b2f946482
