Boite_de_vitesses,Mode_de_transmission,Prix,Immatriculation
Mécanique robotisée 7 rapports à double embrayage,Traction,16691500,da9f9602-a32f-487f-88f0-93b382fd6695
Mécanique robotisée 7 rapports à double embrayage,Traction,19702647,0cf98e56-5422-4fac-9767-a23a4e21ec9d
Automatique 4 rapports,Traction,14554988,b6a8731f-5203-40f7-b8d6-2a4c23b41560
Mécanique 5 rapports,Traction,14020860,0767433a-1b48-423d-9bb6-f2b5543648c5
Mécanique 5 rapports,Traction,8178835,5ce1dc9e-1100-40e9-9620-45e49a7aff76
Automatique 8 rapports,Traction,18260501,9149492a-884c-472b-9f92-3066deddc2a3
Mécanique robotisée 7 rapports à double embrayage,Traction,34144132,f7329e3e-cc93-4d5f-bd70-ce565002ce24
Manuelle 6,,12017880,68556cbc-4db8-4555-aa20-07997ac37239
Automatique 9,Transmission intégrale,31103609,4ecfdea3-63d0-469a-aae3-19c404c3cc97
Mécanique 5 rapports,Traction,18901455,66ba5978-f9a3-4ff3-9718-7d6735419bc1
Automatique séquentielle 7 rapports,Propulsion,27574358,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
Mécanique 6 rapports,Propulsion,20497162,fa6fa76e-a360-44b7-9a89-b3794f16d364
Automatique 8 rapports,Traction,21999397,39f42829-f725-4d43-bfd9-54b158e2cfd0
Mécanique 6 rapports,Propulsion,24970484,717d6e72-a731-4934-8f2e-b4cb4e985561
Mécanique 6 rapports,Traction,26851950,115b72dd-052f-4a55-bd07-b7083ce08798
Mécanique 6 rapports,Propulsion,28089792,fdf49405-f747-4d44-9e06-f7e04473dbfa
Mécanique robotisée 6 rapports à double embrayage,Traction,20463779,1401d40e-e1bf-4271-85a7-a9f22e3b385a
Mécanique 6 rapports,Traction,20397013,1fd9d158-a61e-449c-9dd1-93714c036fd2
Mécanique robotisée 7 rapports à double embrayage,Traction,28836235,c889beae-1d02-44f0-9605-18469e71cd03
Automatique 10,Transmission intégrale,82122180,c57e7ba1-7f5d-45e7-8058-54ce87237692
Mécanique robotisée 7 rapports à double embrayage,Traction,20166670,e5dff730-e7d9-4079-820c-1aaaa740255e
Mécanique robotisée 6 rapports à double embrayage,Traction,19529055,156933b6-ba16-47b2-93e3-a82471629fe1
Mécanique 6 rapports,Traction,21698950,2ff46b5c-c763-4be8-8844-5ee336efc404
Mécanique 6 rapports,Traction,15723393,e416bfac-0b89-4480-b85d-48e0ce816c9c
Mécanique 5 rapports,Traction,15015673,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
Mécanique robotisée 7 rapports à double embrayage,Traction,24549858,d7e68da6-586a-4b87-82a2-c5e0d92318e1
Mécanique 5 rapports,Propulsion,23968994,3e166dd7-ce28-42c6-ad0d-eaed2435c655
Mécanique 5 rapports,Traction,14014183,67f46d4c-b53a-4495-8b87-8667ad8cdeaf
Mécanique robotisée 7 rapports à double embrayage,Propulsion,117775224,d8698a86-ed3c-41c3-8432-3b8e97e60293
Manuelle,,814545,35223a75-66d6-45bd-81e0-a3d5be07af1d
Mécanique 5 rapports,Traction,10015568,4bd92e21-eb43-4b2e-bcff-5dc8c8ecfafc
Mécanique 6 rapports,Traction,24589918,deeac0d6-1aea-4f21-82a0-c72451151e71
Automatique 7,Transmission intégrale,34523363,dec164ea-daba-4df3-bc06-33013e3f2d78
Automatique séquentielle 7 rapports,Propulsion,28943061,42716a61-ae56-493d-a081-a548ee88900f
Mécanique 6 rapports,Propulsion,24870335,771cf73b-4ff9-4c00-aa7f-f9119fa29376
Mécanique 6 rapports,Traction,33690124,6a24e4a2-46c8-4483-8cfa-a5e3b1e9ca2b
Mécanique 6 rapports,Traction,16157372,6b4f34fb-f3b3-4d57-ac3a-b1046d4ad37f
Mécanique 6 rapports,Traction,15349503,03a23a67-b9e7-4151-abdd-27e35116eca0
Automatique à variation continue,Traction,16958564,5cb61915-59d3-42d1-918a-d25bd7acd705
Automatique 6 rapports,Traction,31413403,61bf046c-9e44-4c33-ba55-c915f828d593
Mécanique 6 rapports,Traction,15456329,4e121217-12d7-42f3-9fcc-1d6678ae941d
Automatique 6 rapports,Transmission intégrale,28442316,57723fe9-9d65-4a64-9ba3-f25c6b8771e7
Mécanique 6 rapports,Propulsion,32969051,bbc7a384-f78e-4bb0-a9f4-a93775e6446a
Robotisée simple embrayage 5,Traction,21031290,5515a928-6d9e-4f9a-9c6f-22fa73681252
Mécanique 6 rapports,Traction,36125747,31e80e34-edfb-4a49-ac86-416a6e4c201b
Variateur,,1996303,0e0608a9-a42d-4dd1-893c-40d59a956601
Mécanique 6 rapports,Propulsion,25337697,43156a31-0f7f-4b2c-ad3f-0a28cfce69ab
Automatique 4 rapports,Traction,15890308,ea001560-f77d-44a3-867a-18b1c694d2c0
Automatique à variation continue,Traction,22233078,cd04d633-d48c-496b-a90a-f3d0733baa61
Automatique 5 rapports,Propulsion,31512217,0f16355f-d1a4-485b-9d45-d2147a486b56
Mécanique 6 rapports,Traction,20296864,7d44cb15-465b-4ddc-a51a-2aba50c43e4b
Automatique 6 rapports,Traction,20997907,cdb7abc3-f805-4f08-a9ff-09d65cbf7be9
Mécanique 5 rapports,Traction,13920711,050d7d51-4b9c-4302-bb72-d93a25797f6e
Mécanique 6 rapports,Traction,13994154,a2422f28-a1f6-4c3d-bdad-86d6ba8625dd
Mécanique 5 rapports,Traction,14054243,d485b18c-1176-4088-bdcb-57fc669e26e9
Automatique 6 rapports,Traction,30805832,131a2973-fefd-4a5c-a991-90c966d16dd0
Automatique 6 rapports,Transmission intégrale,24135909,503175c8-90b9-4716-9dbb-89f7f4ff6637
Mécanique 6 rapports,Traction,24035760,4e8d8cdf-3704-4447-9c5b-d4ae60a01261
Mécanique 6 rapports,Transmission intégrale,43566150,f9aa35ea-634b-4794-8528-6977a5353eef
Manuelle,,2649943,427dee2e-b3d4-439f-9740-1a3c5f338ba0
Mécanique robotisée 7 rapports à double embrayage,Transmission intégrale,39271761,f1eab354-346c-4d1f-8df3-8765d0742716
Automatique séquentielle 8 rapports,Transmission Intégrale,46836349,3508df78-e16b-4e65-ba6f-d025065ca527
Mécanique 6 rapports,Propulsion,26172272,8d3cfc7b-0031-404d-ba6d-3ec5fa22a0f0
Robotisée simple embrayage 5,Traction,20557251,23df446d-7660-438e-a991-8108e26a3947
