Predicted,RealPrice
4249801.408380,4072058
26511271.449220,23835462
29200764.383633,29596032
24583608.248428,26105506
22889942.082106,21720983
12578363.668407,13031388
22960636.130437,24182645
35739817.973857,36962993
44135397.362271,41228005
13498887.364541,13480055
17544449.630195,15483035
31589802.706963,30303752
29003044.585513,28776146
11278434.465835,10782709
3915325.545249,4005292
5928213.739384,5935497
25455201.668154,24856982
19753585.618761,19428906
38357979.979614,38023237
28692825.820374,32641897
10134458.111187,9681070
15525007.286653,15656627
7598971.991891,6280010
16017945.681789,17626224
33220410.232450,30311764
53316821.157930,49673904
33363450.320292,32581808
15967498.689984,16275548
16410802.651159,17018653
24346432.319354,25204165
22165780.266949,22809936
8110988.407619,7177345
14223760.970474,14020860
32440506.315881,27240528
4394394.591997,4372505
29849771.289778,31086250
4355103.099098,4266347
10615632.051473,9614304
27348018.730933,28442316
28713586.668600,28308784
12458706.842227,11457046
26595018.209383,21098056
15986947.393623,15909002
9997438.787996,9647687
17205162.995632,20166670
4823262.667614,4887271
14376237.172616,15556478
31417629.202934,29477189
20968862.762804,20830992
35074261.482380,34578111
8950384.070777,8245601
25411183.685242,24770186
24896798.108813,25704910
35115759.576242,40193132
28152877.062363,25934585
20509678.598806,18173705
30578184.111453,34130779
27580694.814456,29510572
16100126.121813,14955584
14218127.035093,13546821
15953145.187189,15990457
17060840.662957,14677170
23700788.965853,24002377
34538694.236351,30411913
30169336.548980,34050660
9243440.750455,9247091
25705651.221070,26472719
22040416.998488,22894061
15220494.125383,14974278
20114243.812170,22673734
13693957.209705,15015673
12841384.760909,14287924
13301860.718556,16277551
18062431.148535,15623244
21034045.557254,18560948
7647326.764853,7517852
19453426.054481,22233078
15120939.046328,15089116
24097256.670711,24444368
35228160.902137,31253165
42051660.958124,40794026
9301510.805842,9414006
35600923.129707,32301391
22142949.089703,21799099
13457471.609149,12356384
18905350.167811,20224757
20716887.590551,21231588
21426870.309912,20029800
10569452.013842,11450369
5584448.533546,5671772
36869901.975777,35913431
14902098.922194,14463519
7149851.026241,7077196
22779326.041628,22032780
12582092.236570,14264556
12926293.727871,14544973
27285333.712088,30717701
21545050.336352,20303541
34438692.202115,36554385
14072365.506432,14788669
4337180.173774,4146169
7704696.942903,8823127
24016330.859852,24429679
22994162.711677,23047623
23967719.891234,23882198
30862614.206671,34284341
22392592.343401,24122556
25979889.343181,25204165
33881189.131735,38390450
47575405.516968,67834256
47575488.830918,45834859
29608531.540175,34018612
8311916.862662,7804945
30576111.580922,34611494
16534544.164433,17425926
20322704.358896,18961544
3371855.191271,3270866
32744464.939407,30712360
2311577.524713,2330133
33577227.901167,34584788
23524402.240595,25744970
27872774.024784,24770186
12178659.027386,12077969
2022104.901947,2002312
9944279.943550,9681070
19826478.205042,19428906
28601021.573138,29744253
20886811.619913,18311243
44101369.114752,43130836
33451562.672802,29410423
17702356.620865,20764226
35004532.265011,34010600
22400888.264126,23635164
13912696.413490,13453349
20254139.283305,20254801
38899059.029592,42029197
2545648.852729,2649943
131724089.555984,121781184
24184695.364406,21451916
33612717.920508,28709380
34368920.252566,33683447
13130869.586125,10482262
26409507.131726,23134419
34810307.234612,35285831
21877985.538948,21438563
24029550.940445,23641841
18721818.266103,17781789
11041941.691787,10715943
6500502.409140,7077196
6018702.121006,5978895
30604358.930401,31246488
39936342.846171,40426813
26046861.575495,31380020
34622120.565468,36187172
5564493.663153,5708493
17299322.957461,13710398
20101341.589195,20063183
33671735.137369,32915638
23217846.814345,22333227
24198855.346940,23721960
7254323.600086,7210060
26138843.590853,29109976
36523983.571958,41394920
20210155.375340,20557251
14525881.769933,13813885
30602566.491859,31346637
9165697.881804,8045303
15213617.570718,14922201
15420118.511117,14087626
4985872.250376,5004112
49760307.819286,49587108
26767325.358488,24696743
32955024.490367,34618171
10739864.477083,10976330
28457439.666131,26138889
37806188.241132,39638974
7782466.953798,7638698
37634562.405548,40814056
27251635.213830,27574358
36242657.038638,36374117
19542445.743177,18956203
25010102.493532,24436356
37546552.823683,39819242
27739353.448631,25537995
19365881.448833,15062410
19223417.097457,20810962
7118000.186285,7340922
24668134.273889,30051377
26787905.998702,20670754
24816539.900314,25871825
6871351.773577,6646555
10779561.064932,10615794
19967340.061355,21354437
30892365.164986,27524951
20873844.709238,23747331
18222665.662043,17354486
4825130.536066,4806484
26960308.688674,27607741
29745620.526467,28472361
22221720.157905,22233078
14253131.405201,13413289
23189547.882758,21698950
24585988.355775,22994210
2298623.802882,2202610
55395219.957054,43184249
24185678.363979,23601781
23343037.499534,23234568
36755022.351898,35262463
13790585.306576,12855793
65617143.503573,62492976
2327271.098596,2396899
11751216.401590,10615794
76268651.592046,67392933
31091655.564959,34217575
22670356.801882,20230098
4252574.331693,4138824
18890360.180102,19440924
36758845.238140,32388187
32016379.542262,36020257
22622515.764105,23234568
11285746.144557,10448879
16682096.085035,18494182
32020688.493615,29811019
31107388.336337,30612211
65613734.795849,62597131
13653119.658336,14601724
27863260.827055,26568194
18375220.394368,17731047
11654254.851555,7671413
11003714.313602,12084646
8586820.903077,8132766
42989304.400061,45868242
32375498.474742,34122767
19645435.783989,19996417
10444641.074135,11517135
13624114.483022,12952604
40438002.201969,38523982
12892317.965344,10014900
26842277.624410,28876295
13058895.603704,12254232
31789916.854750,34631524
27595445.422641,25744970
18646237.273873,16958564
1682998.434641,1829388
14890746.814184,16157372
11177254.765835,13263066
22030901.218201,21365120
21734663.555735,20710813
26566252.272264,30685654
28109833.370729,24396296
31772181.489288,30338470
10612489.730478,11750816
35831356.051448,40243874
29863308.973990,32360145
38763678.545076,36020257
49320598.390151,50675394
20684014.747711,21598801
25086894.886753,24023742
8860448.083605,8272307
71410360.172824,60433245
8701300.625213,8866525
29144416.488299,26205655
28364687.970090,23942288
14500638.133960,17893288
21456669.947794,24135909
16132814.896774,15723393
14329334.857697,19095076
41240967.018823,45591831
3912324.183683,4005292
12442440.750100,12543328
38433320.542881,32748723
23945176.729450,23074330
37096276.936669,39756482
12527315.725024,11817582
27435682.359145,25871825
29199907.380920,28943061
17144220.540581,15489712
12980247.458079,11744139
21587496.047977,21568089
27877342.537079,24870335
11814896.975124,12345033
29944263.073105,25905208
21218206.491205,25104016
24765137.819145,24289471
15554718.921250,15623244
8663067.296918,8678912
22138624.437016,21244941
52420470.816804,45634561
21833536.749065,22032780
40979323.383938,44205769
39896923.378865,42062580
14768848.064152,14020860
15437828.466410,15122499
11876207.381107,12885838
15975477.990455,15898988
1201682.001527,1221150
28581154.957210,30445296
9549540.822877,8295676
8491187.280197,7931801
32597239.188838,34045986
4751870.058611,12218178
10444641.074135,11383603
29205004.414618,31493522
50967692.597789,45067050
20175861.482982,22393316
25886565.360336,23301334
16834135.324069,17626224
33861731.723894,33683447
53547804.622541,46990578
28058855.946882,26072123
22159058.308137,17826522
27481905.971135,26479396
75658246.629906,71706684
18444948.172347,21164822
23644584.276252,18994927
34659978.218429,32848872
27219565.466383,27273911
15805319.258367,15756776
23023313.558705,20967195
21622906.334647,21799099
18546029.242376,19061693
45961928.717189,52144246
35728767.202384,42062580
19072893.009036,16885121
20788245.880862,19762736
19377857.561646,19629204
24098283.536678,28742763
138637121.694939,131862850
24842253.434965,24577900
15109027.817188,15990457
31012111.052010,29343657
34956800.373110,35112239
38692435.249066,35625002
20186954.549523,21028619
37760773.053877,35032120
20554628.704566,22453406
37171933.289720,36037616
22585122.947656,21745686
27562989.152706,28000993
20925549.817958,19689293
9024245.931227,9346572
20523799.490138,23968994
25160117.613551,22967504
13561662.448346,11143245
6851300.558013,6676600
20407659.929751,21098056
15948930.288947,15155882
9293441.765500,7214066
26992150.502748,25270931
25240803.693000,25464552
21334527.944605,22366610
13614206.581689,14321307
37106358.844615,35953491
63205471.370938,80386264
13152803.979126,11817582
42258675.275149,46304892
13088290.770739,13526792
12063158.986607,12872485
6581563.642613,6609166
27715409.812552,25237548
13970490.325134,14388073
10237060.026147,10609117
21629265.430259,23020917
1291317.442553,1334652
39723529.560456,43781137
7581422.561501,7387658
14944020.510294,15623244
20194874.727874,19161842
37101083.366202,35319214
44892076.117835,42095963
9374496.780016,9747836
78459206.932094,74577622
18637595.176098,21164822
36745405.746184,36768036
39862600.847232,42396410
10278494.756128,9681070
14040319.779161,14688520
77763600.252919,72004460
22602205.195244,21565418
91771229.293115,91569569
22180573.602322,19442259
18329494.494519,18828012
39378865.725966,33850362
27877613.661271,26719753
8756305.771829,8612814
14583264.329505,12552008
7016858.871111,7411026
41198423.525840,44199092
21522144.293057,20697460
23193151.789843,24102526
56420825.838709,51336377
